Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag,,
24.70827026,0.219421554,-0.20599381,-0.590820763,,24.71
24.77337163,0.222168138,-0.197754057,-0.599060516,,24.78
24.83536746,0.227661307,-0.20599381,-0.606995092,,24.84
24.89709708,0.222168138,-0.21667497,-0.606995092,,24.9
24.95822343,0.219421554,-0.197754057,-0.593567347,,24.96
25.02026288,0.230407891,-0.214233562,-0.61248826,,25.03
25.08526002,0.219421554,-0.208740394,-0.601501924,,25.09
25.14626481,0.219421554,-0.208740394,-0.606995092,,25.15
25.20827186,0.230407891,-0.203247225,-0.599060516,,25.21
25.27222762,0.222168138,-0.203247225,-0.617981429,,25.28
25.33423146,0.233154475,-0.20599381,-0.61248826,,25.34
25.39653518,0.230407891,-0.195007473,-0.590820763,,25.4
25.45830265,0.219421554,-0.219421554,-0.604248508,,25.46
25.52024941,0.21667497,-0.21667497,-0.609741676,,25.53
25.58231355,0.233154475,-0.214233562,-0.609741676,,25.59
25.64539694,0.219421554,-0.20599381,-0.61248826,,25.65
25.70744664,0.21667497,-0.208740394,-0.61248826,,25.71
25.7693052,0.224914722,-0.224914722,-0.609741676,,25.77
25.83335429,0.227661307,-0.20599381,-0.609741676,,25.84
25.89432765,0.219421554,-0.20599381,-0.609741676,,25.9
25.95825037,0.233154475,-0.208740394,-0.617981429,,25.96
26.01929333,0.233154475,-0.20599381,-0.606995092,,26.02
26.08241553,0.224914722,-0.197754057,-0.61248826,,26.09
26.14327023,0.238342467,-0.20599381,-0.604248508,,26.15
26.20643316,0.222168138,-0.200500641,-0.601501924,,26.21
26.26925357,0.219421554,-0.211486978,-0.599060516,,26.27
26.33327475,0.224914722,-0.214233562,-0.606995092,,26.34
26.39329621,0.227661307,-0.214233562,-0.596313932,,26.4
26.45529492,0.233154475,-0.21667497,-0.590820763,,26.46
26.51828627,0.235901059,-0.211486978,-0.601501924,,26.52
26.58031096,0.219421554,-0.200500641,-0.606995092,,26.59
26.64346651,0.214233562,-0.211486978,-0.601501924,,26.65
26.70652168,0.21667497,-0.214233562,-0.604248508,,26.71
26.76764675,0.21667497,-0.21667497,-0.599060516,,26.77
26.83027151,0.211486978,-0.211486978,-0.596313932,,26.84
26.89344631,0.21667497,-0.211486978,-0.609741676,,26.9
26.95646107,0.235901059,-0.208740394,-0.596313932,,26.96
27.01842354,0.21667497,-0.211486978,-0.590820763,,27.02
27.07938985,0.235901059,-0.211486978,-0.601501924,,27.08
27.143344,0.208740394,-0.211486978,-0.61248826,,27.15
27.20453385,0.222168138,-0.214233562,-0.606995092,,27.21
27.26743347,0.219421554,-0.211486978,-0.617981429,,27.27
27.33031064,0.214233562,-0.227661307,-0.609741676,,27.34
27.3913613,0.235901059,-0.20599381,-0.604248508,,27.4
27.45644888,0.230407891,-0.211486978,-0.606995092,,27.46
27.51636162,0.227661307,-0.208740394,-0.604248508,,27.52
27.57927952,0.230407891,-0.214233562,-0.599060516,,27.58
27.64131704,0.224914722,-0.20599381,-0.596313932,,27.65
27.70347707,0.219421554,-0.203247225,-0.599060516,,27.71
27.76647259,0.224914722,-0.222168138,-0.609741676,,27.77
27.82843185,0.230407891,-0.20599381,-0.599060516,,27.83
27.89137477,0.214233562,-0.197754057,-0.609741676,,27.9
27.95556818,0.214233562,-0.200500641,-0.596313932,,27.96
28.01547835,0.222168138,-0.203247225,-0.601501924,,28.02
28.08007683,0.21667497,-0.20599381,-0.61248826,,28.09
28.14235618,0.235901059,-0.224914722,-0.606995092,,28.15
28.20548543,0.214233562,-0.214233562,-0.601501924,,28.21
28.26638407,0.227661307,-0.20599381,-0.593567347,,28.27
28.32734236,0.219421554,-0.21667497,-0.596313932,,28.33
28.39235393,0.21667497,-0.203247225,-0.606995092,,28.4
28.45363166,0.230407891,-0.208740394,-0.606995092,,28.46
28.51537027,0.233154475,-0.214233562,-0.604248508,,28.52
28.5774328,0.224914722,-0.20599381,-0.604248508,,28.58
28.63937475,0.219421554,-0.211486978,-0.599060516,,28.64
28.70241773,0.233154475,-0.230407891,-0.601501924,,28.71
28.76440714,0.219421554,-0.20599381,-0.596313932,,28.77
28.82835231,0.227661307,-0.219421554,-0.604248508,,28.83
28.89139048,0.235901059,-0.21667497,-0.601501924,,28.9
28.9534822,0.224914722,-0.211486978,-0.606995092,,28.96
29.01465859,0.222168138,-0.203247225,-0.609741676,,29.02
29.07639238,0.219421554,-0.20599381,-0.604248508,,29.08
29.14138182,0.230407891,-0.21667497,-0.609741676,,29.15
29.20251362,0.214233562,-0.208740394,-0.604248508,,29.21
29.26443761,0.241089051,-0.214233562,-0.604248508,,29.27
29.32648892,0.224914722,-0.197754057,-0.604248508,,29.33
29.38854376,0.203247225,-0.197754057,-0.590820763,,29.39
29.45244114,0.224914722,-0.208740394,-0.609741676,,29.46
29.51349372,0.224914722,-0.203247225,-0.609741676,,29.52
29.57560822,0.224914722,-0.203247225,-0.604248508,,29.58
29.64044243,0.219421554,-0.203247225,-0.609741676,,29.65
29.70050045,0.222168138,-0.20599381,-0.604248508,,29.71
29.76351265,0.222168138,-0.208740394,-0.599060516,,29.77
29.82739624,0.224914722,-0.211486978,-0.606995092,,29.83
29.88851393,0.222168138,-0.20599381,-0.604248508,,29.89
29.95044786,0.233154475,-0.21667497,-0.61248826,,29.96
30.01238916,0.222168138,-0.219421554,-0.606995092,,30.02
30.07445715,0.219421554,-0.21667497,-0.599060516,,30.08
30.13864158,0.21667497,-0.214233562,-0.609741676,,30.14
30.19942764,0.219421554,-0.208740394,-0.601501924,,30.2
30.26239974,0.230407891,-0.203247225,-0.606995092,,30.27
30.32644594,0.224914722,-0.203247225,-0.601501924,,30.33
30.38640102,0.238342467,-0.208740394,-0.599060516,,30.39
30.45078365,0.211486978,-0.211486978,-0.596313932,,30.46
30.51144976,0.219421554,-0.208740394,-0.615234844,,30.52
30.57644947,0.230407891,-0.192260889,-0.604248508,,30.58
30.63969611,0.227661307,-0.222168138,-0.601501924,,30.64
30.69865181,0.230407891,-0.203247225,-0.606995092,,30.7
30.76350719,0.219421554,-0.211486978,-0.620728013,,30.77
30.82356907,0.219421554,-0.208740394,-0.604248508,,30.83
30.88657132,0.227661307,-0.211486978,-0.609741676,,30.89
30.94851936,0.224914722,-0.203247225,-0.604248508,,30.95
31.01149082,0.222168138,-0.200500641,-0.604248508,,31.02
31.07454984,0.222168138,-0.211486978,-0.599060516,,31.08
31.13565341,0.230407891,-0.20599381,-0.596313932,,31.14
31.19848921,0.222168138,-0.20599381,-0.599060516,,31.2
31.26046836,0.222168138,-0.211486978,-0.604248508,,31.27
31.32358767,0.233154475,-0.197754057,-0.606995092,,31.33
31.38756267,0.214233562,-0.200500641,-0.609741676,,31.39
31.44747412,0.219421554,-0.214233562,-0.596313932,,31.45
31.51151744,0.227661307,-0.20599381,-0.601501924,,31.52
31.57547608,0.21667497,-0.21667497,-0.61248826,,31.58
31.63652802,0.21667497,-0.208740394,-0.620728013,,31.64
31.69747509,0.214233562,-0.203247225,-0.606995092,,31.7
31.75950683,0.208740394,-0.222168138,-0.615234844,,31.76
31.82447575,0.227661307,-0.214233562,-0.615234844,,31.83
31.88553988,0.222168138,-0.222168138,-0.61248826,,31.89
31.94750235,0.222168138,-0.211486978,-0.604248508,,31.95
32.01165406,0.227661307,-0.214233562,-0.606995092,,32.02
32.07248567,0.214233562,-0.20599381,-0.604248508,,32.08
32.13668293,0.227661307,-0.208740394,-0.604248508,,32.14
32.19728137,0.233154475,-0.189819481,-0.599060516,,32.2
32.25871722,0.214233562,-0.189819481,-0.590820763,,32.26
32.32156199,0.235901059,-0.203247225,-0.609741676,,32.33
32.38355782,0.224914722,-0.203247225,-0.604248508,,32.39
32.44673967,0.233154475,-0.195007473,-0.609741676,,32.45
32.50976052,0.208740394,-0.203247225,-0.599060516,,32.51
32.57059053,0.230407891,-0.211486978,-0.61248826,,32.58
32.6336752,0.227661307,-0.203247225,-0.601501924,,32.64
32.69555942,0.227661307,-0.208740394,-0.609741676,,32.7
32.75955045,0.227661307,-0.195007473,-0.604248508,,32.76
32.82163287,0.227661307,-0.211486978,-0.596313932,,32.83
32.88364056,0.224914722,-0.20599381,-0.606995092,,32.89
32.94555525,0.21667497,-0.20599381,-0.599060516,,32.95
33.00883332,0.227661307,-0.211486978,-0.61248826,,33.01
33.0717092,0.227661307,-0.203247225,-0.601501924,,33.08
33.13263318,0.214233562,-0.21667497,-0.601501924,,33.14
33.19457833,0.21667497,-0.20599381,-0.606995092,,33.2
33.25871337,0.230407891,-0.214233562,-0.61248826,,33.26
33.31955331,0.222168138,-0.195007473,-0.599060516,,33.32
33.38453217,0.21667497,-0.224914722,-0.604248508,,33.39
33.44554915,0.208740394,-0.21667497,-0.609741676,,33.45
33.50871914,0.222168138,-0.20599381,-0.609741676,,33.51
33.56968609,0.224914722,-0.21667497,-0.609741676,,33.57
33.63355621,0.224914722,-0.211486978,-0.601501924,,33.64
33.69374541,0.230407891,-0.211486978,-0.61248826,,33.7
33.75703503,0.224914722,-0.21667497,-0.590820763,,33.76
33.81971977,0.208740394,-0.214233562,-0.604248508,,33.82
33.88237339,0.214233562,-0.208740394,-0.596313932,,33.89
33.9435873,0.214233562,-0.203247225,-0.609741676,,33.95
34.00590801,0.233154475,-0.214233562,-0.604248508,,34.01
34.06971079,0.214233562,-0.211486978,-0.599060516,,34.07
34.13094618,0.21667497,-0.224914722,-0.596313932,,34.14
34.19358794,0.233154475,-0.211486978,-0.604248508,,34.2
34.25570179,0.230407891,-0.214233562,-0.601501924,,34.26
34.3186415,0.227661307,-0.20599381,-0.606995092,,34.32
34.38096318,0.222168138,-0.214233562,-0.620728013,,34.39
34.44279479,0.222168138,-0.214233562,-0.599060516,,34.45
34.50569826,0.227661307,-0.189819481,-0.61248826,,34.51
34.56860398,0.235901059,-0.211486978,-0.601501924,,34.57
34.63063829,0.219421554,-0.208740394,-0.606995092,,34.64
34.69269633,0.230407891,-0.21667497,-0.606995092,,34.7
34.75475566,0.21667497,-0.208740394,-0.599060516,,34.76
34.81975248,0.219421554,-0.195007473,-0.606995092,,34.82
34.87972327,0.21667497,-0.208740394,-0.61248826,,34.88
34.94163603,0.224914722,-0.195007473,-0.599060516,,34.95
35.00569858,0.222168138,-0.200500641,-0.601501924,,35.01
35.06866171,0.214233562,-0.211486978,-0.599060516,,35.07
35.1306152,0.230407891,-0.211486978,-0.617981429,,35.14
35.19362418,0.233154475,-0.219421554,-0.601501924,,35.2
35.25378195,0.21667497,-0.195007473,-0.606995092,,35.26
35.31869666,0.233154475,-0.214233562,-0.599060516,,35.32
35.37869728,0.227661307,-0.20599381,-0.604248508,,35.38
35.44167323,0.208740394,-0.197754057,-0.606995092,,35.45
35.50476208,0.222168138,-0.21667497,-0.596313932,,35.51
35.56571299,0.224914722,-0.203247225,-0.61248826,,35.57
35.62866841,0.214233562,-0.219421554,-0.606995092,,35.63
35.6917114,0.233154475,-0.214233562,-0.609741676,,35.7
35.7547733,0.233154475,-0.219421554,-0.604248508,,35.76
35.81568701,0.222168138,-0.208740394,-0.604248508,,35.82
35.87765493,0.222168138,-0.222168138,-0.601501924,,35.88
35.94271493,0.224914722,-0.214233562,-0.601501924,,35.95
36.00381049,0.230407891,-0.203247225,-0.601501924,,36.01
36.06678805,0.214233562,-0.203247225,-0.606995092,,36.07
36.12765461,0.235901059,-0.211486978,-0.596313932,,36.13
36.18977071,0.222168138,-0.21667497,-0.599060516,,36.19
36.25370851,0.233154475,-0.222168138,-0.609741676,,36.26
36.31486853,0.224914722,-0.211486978,-0.606995092,,36.32
36.37769631,0.235901059,-0.20599381,-0.609741676,,36.38
36.441679,0.214233562,-0.214233562,-0.596313932,,36.45
36.50275821,0.219421554,-0.222168138,-0.61248826,,36.51
