Time (s),Processed X Mag,Processed Y Mag,Processed Z Mag,,Time(s)
25.26394819,0.227661307,-0.224914722,-0.61248826,,25.27
25.32590456,0.21667497,-0.214233562,-0.617981429,,25.33
25.39087027,0.219421554,-0.214233562,-0.620728013,,25.4
25.45195044,0.208740394,-0.214233562,-0.617981429,,25.46
25.51282791,0.211486978,-0.211486978,-0.604248508,,25.52
25.57592701,0.224914722,-0.203247225,-0.604248508,,25.58
25.63779134,0.21667497,-0.222168138,-0.620728013,,25.64
25.70212812,0.211486978,-0.222168138,-0.590820763,,25.71
25.76489913,0.222168138,-0.211486978,-0.604248508,,25.77
25.8248651,0.224914722,-0.219421554,-0.604248508,,25.83
25.88941484,0.20599381,-0.208740394,-0.604248508,,25.89
25.95183241,0.219421554,-0.219421554,-0.623169421,,25.96
26.01280546,0.227661307,-0.214233562,-0.609741676,,26.02
26.07482052,0.211486978,-0.214233562,-0.606995092,,26.08
26.13699692,0.224914722,-0.227661307,-0.599060516,,26.14
26.20170124,0.227661307,-0.214233562,-0.601501924,,26.21
26.262639,0.214233562,-0.224914722,-0.601501924,,26.27
26.32392892,0.224914722,-0.219421554,-0.606995092,,26.33
26.38696933,0.214233562,-0.211486978,-0.604248508,,26.39
26.44886317,0.230407891,-0.219421554,-0.617981429,,26.45
26.51183527,0.20599381,-0.224914722,-0.620728013,,26.52
26.57391481,0.214233562,-0.222168138,-0.596313932,,26.58
26.63692155,0.211486978,-0.208740394,-0.615234844,,26.64
26.69895714,0.20599381,-0.211486978,-0.61248826,,26.7
26.76183527,0.21667497,-0.214233562,-0.61248826,,26.77
26.82384296,0.214233562,-0.222168138,-0.606995092,,26.83
26.88804696,0.219421554,-0.211486978,-0.61248826,,26.89
26.94922975,0.214233562,-0.20599381,-0.601501924,,26.95
27.01086028,0.21667497,-0.203247225,-0.604248508,,27.02
27.0740354,0.224914722,-0.222168138,-0.604248508,,27.08
27.13887859,0.224914722,-0.214233562,-0.604248508,,27.14
27.19888466,0.219421554,-0.21667497,-0.604248508,,27.2
27.25992345,0.214233562,-0.224914722,-0.604248508,,27.26
27.32486478,0.227661307,-0.219421554,-0.604248508,,27.33
27.38491255,0.197754057,-0.222168138,-0.606995092,,27.39
27.44801582,0.21667497,-0.214233562,-0.609741676,,27.45
27.51097381,0.211486978,-0.211486978,-0.593567347,,27.52
